序号,province,year,文件名,topic,topic_name,topic_main_dimension,topic_secondary_code,topic_secondary_name,topic_match_strength
14,黑龙江,2016,黑龙江省财政厅、黑龙江省发展和改革委员会关...(FBM-CLI.12.1233147).txt,9,9_专家_机构_咨询服务_咨询服务 机构,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,0.875
15,黑龙江,2016,黑龙江省财政厅关于印发《黑龙江省普惠金融发...(FBM-CLI.12.7531491).txt,6,6_奖励_普惠_奖代补_普惠 金融,数字治理接口与数据协同,A3,信息公开与透明协同,0.625
16,黑龙江,2017,哈尔滨市财政局关于印发哈尔滨市PPP项目库管理...(FBM-CLI.12.2474819).txt,14,14_行业_行业 主管部门_物有所值_采购,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.625
17,黑龙江,2017,黑河市人民政府办公室关于印发《黑河市人民政...(FBM-CLI.12.1281665).txt,10,10_债务_预算_基金_政府 债务,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.25
18,黑龙江,2017,黑龙江省公共服务领域政府和社会资本合作(PPP)操...(FBM-CLI.12.1294505).txt,14,14_行业_行业 主管部门_物有所值_采购,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.75
19,黑龙江,2017,黑龙江省财政厅、黑龙江省发展和改革委员会关...(FBM-CLI.12.1462487).txt,9,9_专家_机构_咨询服务_咨询服务 机构,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,0.875
20,黑龙江,2018,双鸭山市人民政府办公室关于印发双鸭山市政府...(FBM-CLI.14.6560392).txt,23,23_风险_运用_承担_推广 运用,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.875
21,黑龙江,2018,黑龙江省财政厅关于印发黑龙江省公共服务领域...(FBM-CLI.14.1526337).txt,14,14_行业_行业 主管部门_物有所值_采购,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.875
22,黑龙江,2019,黑龙江省人民政府办公厅关于印发黑龙江省推广...(FBM-CLI.14.1524063).txt,14,14_行业_行业 主管部门_物有所值_采购,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.5
23,黑龙江,2019,黑龙江省财政厅关于印发《黑龙江省公共服务领...(FBM-CLI.14.1526335).txt,14,14_行业_行业 主管部门_物有所值_采购,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.875
24,黑龙江,2020,齐齐哈尔市发展和改革委员会、齐齐哈尔市财政...(FBM-CLI.14.3990285).txt,15,15_改革 委员会_国家 发展_云南省_陕西省政府,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.125
25,黑龙江,2022,七台河市人民政府办公室关于印发七台河市进一...(FBM-CLI.14.5565755).txt,2,2_模式 三年_三年_行动计划_三年 行动计划,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.375
26,黑龙江,2022,伊春市人民政府办公室关于印发伊春市进一步推...(FBM-CLI.12.6509595).txt,2,2_模式 三年_三年_行动计划_三年 行动计划,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.5
27,黑龙江,2022,鹤岗市人民政府办公室关于印发鹤岗市进一步推...(FBM-CLI.12.5570915).txt,2,2_模式 三年_三年_行动计划_三年 行动计划,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.5
28,黑龙江,2022,黑龙江省教育厅关于印发推广运用政府和社会资...(FBM-CLI.14.6533323).txt,2,2_模式 三年_三年_行动计划_三年 行动计划,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.5
29,黑龙江,2022,齐齐哈尔市人民政府办公室关于印发齐齐哈尔市...(FBM-CLI.14.5689394).txt,2,2_模式 三年_三年_行动计划_三年 行动计划,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.5
30,黑龙江,2023,黑龙江省财政厅关于废止政府和社会资本合作(...(FBM-CLI.12.7293726).txt,4,4_废止_财政厅 财政部_财金_文件目录,数字治理接口与数据协同,A3,信息公开与透明协同,0.875
31,青海 19,2016,海东市人民政府关于印发海东市促进民间投资平...(FBM-CLI.14.1257456).txt,20,20_民间_民间 投资_企业_政务,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.375
32,青海 19,2016,青海省人民政府关于在公共服务领域推广政府和...(FBM-CLI.12.1197795).txt,7,7_有利于_公共服务 供给_民营 资本_转变,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,0.875
33,青海 19,2016,青海省人民政府关于进一步促进民间投资健康发...(FBM-CLI.12.1210561).txt,20,20_民间_民间 投资_企业_政务,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.375
34,青海 19,2016,青海省人民政府办公厅关于成立青海省政府和社...(FBM-CLI.14.1177786).txt,3,3_局长_主任_领导小组_局局长,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.875
35,青海 19,2016,青海省人民政府办公厅转发省发展改革委关于青...(FBM-CLI.12.1165393).txt,16,16_运营 移交_移交_特许_经营,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.625
36,青海 19,2016,青海省人民政府办公厅转发省财政厅等部门关于...(FBM-CLI.12.1212305).txt,20,20_民间_民间 投资_企业_政务,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.5
37,青海 19,2016,青海省发展和改革委员会转发国家发展改革委关...(FBM-CLI.14.5261581).txt,1,1_证券化_资产 证券化_国家 发展_证券,采购交易、合同安排与执行绩效,C1,社会资本采购与竞争配置,0.5
38,青海 19,2016,青海省财政厅关于公布第一批政府和社会资本合...(FBM-CLI.12.1442631).txt,13,13_申报_第四批_第三批_申报 筛选,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.25
39,青海 19,2016,青海省财政厅关于印发2016年财政金融和政府外债...(FBM-CLI.12.1443076).txt,0,0_四川省_四川省 财政厅_综合 补助_财政厅 四川省,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.0
40,青海 19,2016,青海省财政厅关于征集政府与社会资本合作(PPP)咨...(FBM-CLI.14.1963636).txt,9,9_专家_机构_咨询服务_咨询服务 机构,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,0.875
41,青海 19,2016,青海省财政厅关于征集政府和社会资本合作(PPP)项...(FBM-CLI.12.1443121).txt,22,22_运用_推广 运用_运用 政府_相对,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.875
42,青海 19,2016,青海省财政厅关于第三批国家级政府和社会资本...(FBM-CLI.12.1444684).txt,13,13_申报_第四批_第三批_申报 筛选,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.25
43,青海 19,2016,黄南藏族自治州人民政府关于成立黄南州政府和...(FBM-CLI.14.6900741).txt,3,3_局长_主任_领导小组_局局长,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.875
44,青海 19,2017,民和回族土族自治县人民政府办公室关于成立民...(FBM-CLI.14.2350198).txt,3,3_局长_主任_领导小组_局局长,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.875
45,青海 19,2017,青海省发展和改革委员会、青海省农牧厅关于推...(FBM-CLI.14.5261529).txt,15,15_改革 委员会_国家 发展_云南省_陕西省政府,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.375
46,青海 19,2017,青海省财政厅关于青海省第二批入库政府和社会...(FBM-CLI.14.1278332).txt,5,5_住房_管廊_污水处理_城乡,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.5
47,青海 19,2018,青海省人民政府办公厅印发关于进一步激发民间...(FBM-CLI.14.1447352).txt,20,20_民间_民间 投资_企业_政务,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.75
48,青海 19,2018,黄南藏族自治州人民政府办公室印发关于进一步...(FBM-CLI.12.6901595).txt,20,20_民间_民间 投资_企业_政务,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.75
49,青海 19,2025,青海省发展和改革委员会、青海省财政厅关于印...(FBM-CLI.12.8785009).txt,5,5_住房_管廊_污水处理_城乡,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.5
50,陕西 23,2014,陕西省发展和改革委员会关于转发《国家发展改...(FBM-CLI.14.1022616).txt,16,16_运营 移交_移交_特许_经营,项目识别与前端规范准入,B1,项目识别、筛选与入库,1.0
51,陕西 23,2015,宝鸡市人民政府关于加快推进政府和社会资本合...(FBM-CLI.12.1386910).txt,23,23_风险_运用_承担_推广 运用,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.5
52,陕西 23,2015,宝鸡市人民政府办公室关于成立政府和社会资本...(FBM-CLI.14.1337390).txt,3,3_局长_主任_领导小组_局局长,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,1.0
53,陕西 23,2015,陕西省交通运输厅办公室关于转发财政部《政府...(FBM-CLI.12.1118838).txt,4,4_废止_财政厅 财政部_财金_文件目录,数字治理接口与数据协同,A3,信息公开与透明协同,0.25
54,陕西 23,2015,陕西省人民政府办公厅关于在公共服务领域推广...(FBM-CLI.12.1112397).txt,7,7_有利于_公共服务 供给_民营 资本_转变,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,0.875
55,陕西 23,2015,陕西省发展和改革委员会关于印发《陕西省政府...(FBM-CLI.12.2573723).txt,15,15_改革 委员会_国家 发展_云南省_陕西省政府,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.5
56,陕西 23,2015,陕西省发展和改革委员会关于印发《陕西省政府...(FBM-CLI.12.2590883).txt,15,15_改革 委员会_国家 发展_云南省_陕西省政府,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.5
57,陕西 23,2015,陕西省教育厅办公室关于转发《陕西省政府和社...(FBM-CLI.12.2526835).txt,1,1_证券化_资产 证券化_国家 发展_证券,采购交易、合同安排与执行绩效,C1,社会资本采购与竞争配置,0.125
58,陕西 23,2016,咸阳市人民政府办公室关于印发咸阳市政府与社...(FBM-CLI.12.3941879).txt,5,5_住房_管廊_污水处理_城乡,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.75
59,陕西 23,2016,榆林市人民政府办公室关于在公共服务领域推广...(FBM-CLI.12.4846430).txt,7,7_有利于_公共服务 供给_民营 资本_转变,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,0.875
60,陕西 23,2016,西安市人民政府办公厅关于印发西安市公共停车...(FBM-CLI.14.1211658).txt,5,5_住房_管廊_污水处理_城乡,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.25
61,陕西 23,2016,铜川市人民政府办公室关于在公共服务领域推广...(FBM-CLI.14.3941608).txt,16,16_运营 移交_移交_特许_经营,项目识别与前端规范准入,B1,项目识别、筛选与入库,1.0
62,陕西 23,2017,陕西省发展和改革委员会关于征集陕西省政府和...(FBM-CLI.14.2580954).txt,9,9_专家_机构_咨询服务_咨询服务 机构,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,0.75
63,陕西 23,2017,陕西省环境保护厅对省十二届人大六次会议第4...(FBM-CLI.14.2579952).txt,6,6_奖励_普惠_奖代补_普惠 金融,数字治理接口与数据协同,A3,信息公开与透明协同,0.375
64,陕西 23,2018,安康市人民政府办公室关于印发安康市县区污水...(FBM-CLI.14.4795220).txt,3,3_局长_主任_领导小组_局局长,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.875
65,陕西 23,2018,陕西省发展和改革委员会关于公布陕西省政府和...(FBM-CLI.14.2590116).txt,9,9_专家_机构_咨询服务_咨询服务 机构,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,0.625
66,陕西 23,2018,陕西省财政厅关于进一步加强中省PPP示范项目规...(FBM-CLI.12.1529157).txt,13,13_申报_第四批_第三批_申报 筛选,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.125
67,陕西 23,2019,陕西省发展和改革委员会关于举办陕西省政府和...(FBM-CLI.14.2580856).txt,15,15_改革 委员会_国家 发展_云南省_陕西省政府,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.5
68,陕西 23,2019,陕西省发展和改革委员会关于陕西省政府和社会...(FBM-CLI.14.2590618).txt,15,15_改革 委员会_国家 发展_云南省_陕西省政府,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.375
69,陕西 23,2019,陕西省西咸新区开发建设管理委员会办公室关于...(FBM-CLI.12.5688686).txt,14,14_行业_行业 主管部门_物有所值_采购,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.625
70,陕西 23,2019,陕西省西咸新区开发建设管理委员会办公室关于...(FBM-CLI.12.5688689).txt,18,18_批复_工程_高速公路_公里,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.0
71,陕西 23,2020,陕西省交通运输厅关于印发《陕西省高速公路P...(FBM-CLI.12.4936448).txt,14,14_行业_行业 主管部门_物有所值_采购,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.125
72,陕西 23,2025,陕西省交通运输厅关于转发《收费公路政府和社...(FBM-CLI.14.9137287).txt,15,15_改革 委员会_国家 发展_云南省_陕西省政府,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.125
73,重庆 3,2016,重庆市财政局关于组织开展第三批政府和社会资...(FBM-CLI.14.5337825).txt,13,13_申报_第四批_第三批_申报 筛选,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.625
74,重庆 3,2020,重庆市财政局关于转发《财政部关于印发＜政府...(FBM-CLI.14.5327219).txt,4,4_废止_财政厅 财政部_财金_文件目录,数字治理接口与数据协同,A3,信息公开与透明协同,0.125
75,重庆 3,2024,重庆市发展和改革委员会关于印发重庆市规范推...(FBM-CLI.14.7834942).txt,1,1_证券化_资产 证券化_国家 发展_证券,采购交易、合同安排与执行绩效,C1,社会资本采购与竞争配置,0.125
76,辽宁省,2015,本溪市人民政府关于成立本溪市政府和社会资本...(FBM-CLI.14.1088828).txt,3,3_局长_主任_领导小组_局局长,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.75
77,辽宁省,2015,本溪市人民政府办公厅关于成立本溪市推广政府...(FBM-CLI.14.1157875).txt,3,3_局长_主任_领导小组_局局长,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.875
78,辽宁省,2015,沈阳市人民政府关于开展政府和社会资本合作试...(FBM-CLI.14.1074293).txt,23,23_风险_运用_承担_推广 运用,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,1.0
79,辽宁省,2015,沈阳市人民政府办公厅关于印发沈阳市2015年推进...(FBM-CLI.14.1074363).txt,22,22_运用_推广 运用_运用 政府_相对,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.5
80,辽宁省,2015,盘锦市人民政府关于推广运用政府和社会资本合...(FBM-CLI.12.1152974).txt,21,21_目标 社会_合理_运用_平等,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.875
81,辽宁省,2015,盘锦市人民政府办公室关于成立盘锦市推进政府...(FBM-CLI.14.1056810).txt,3,3_局长_主任_领导小组_局局长,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.75
82,辽宁省,2015,盘锦市人民政府办公室印发关于推广运用政府和...(FBM-CLI.14.1153538).txt,16,16_运营 移交_移交_特许_经营,项目识别与前端规范准入,B1,项目识别、筛选与入库,1.0
83,辽宁省,2015,葫芦岛市人民政府办公室关于成立葫芦岛市政府...(FBM-CLI.14.2348576).txt,3,3_局长_主任_领导小组_局局长,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.875
84,辽宁省,2015,辽宁省人民政府关于推广运用政府和社会资本合...(FBM-CLI.12.1112099).txt,21,21_目标 社会_合理_运用_平等,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.875
85,辽宁省,2015,辽宁省人民政府办公厅关于成立辽宁省推广政府...(FBM-CLI.14.1102051).txt,3,3_局长_主任_领导小组_局局长,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.875
86,辽宁省,2015,辽宁省财政厅关于举办全省政府和社会资本合作...(FBM-CLI.14.1234818).txt,0,0_四川省_四川省 财政厅_综合 补助_财政厅 四川省,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.0
87,辽宁省,2015,辽宁省财政厅关于印发政府和社会资本合作项目...(FBM-CLI.12.1132049).txt,9,9_专家_机构_咨询服务_咨询服务 机构,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,0.625
88,辽宁省,2015,辽宁省财政厅关于印发政府和社会资本合作项目...(FBM-CLI.12.1132051).txt,22,22_运用_推广 运用_运用 政府_相对,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.75
89,辽宁省,2015,辽宁省财政厅转发财政部关于实施政府和社会资...(FBM-CLI.12.5219354).txt,4,4_废止_财政厅 财政部_财金_文件目录,数字治理接口与数据协同,A3,信息公开与透明协同,0.25
90,辽宁省,2015,辽宁省财政厅转发财政部关于政府和社会资本合...(FBM-CLI.14.5219445).txt,4,4_废止_财政厅 财政部_财金_文件目录,数字治理接口与数据协同,A3,信息公开与透明协同,0.375
91,辽宁省,2015,辽宁省财政厅转发财政部关于规范政府和社会资...(FBM-CLI.12.5219446).txt,4,4_废止_财政厅 财政部_财金_文件目录,数字治理接口与数据协同,A3,信息公开与透明协同,0.25
92,辽宁省,2015,辽阳市人民政府办公室关于印发辽阳市政府和社...(FBM-CLI.14.1056373).txt,3,3_局长_主任_领导小组_局局长,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.625
93,辽宁省,2015,阜新市人民政府关于推广运用政府和社会资本合...(FBM-CLI.12.1152896).txt,21,21_目标 社会_合理_运用_平等,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.875
94,辽宁省,2015,阜新市人民政府办公室关于成立阜新市“智慧城...(FBM-CLI.14.1128875).txt,3,3_局长_主任_领导小组_局局长,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.875
95,辽宁省,2015,阜新市人民政府办公室关于成立阜新市推广政府...(FBM-CLI.14.1119542).txt,3,3_局长_主任_领导小组_局局长,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,1.0
96,辽宁省,2016,丹东市人民政府办公室关于加快推进政府和社会...(FBM-CLI.14.1230331).txt,19,19_副局长_主任_领导小组_局长,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.5
97,辽宁省,2016,抚顺市人民政府关于加快推广运用政府和社会资...(FBM-CLI.12.1249850).txt,16,16_运营 移交_移交_特许_经营,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.375
98,辽宁省,2016,本溪市人民政府关于推广运用政府和社会资本合...(FBM-CLI.12.1177657).txt,23,23_风险_运用_承担_推广 运用,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.875
99,辽宁省,2016,盘锦市人民政府关于印发《盘锦市政府和社会资...(FBM-CLI.12.1191658).txt,14,14_行业_行业 主管部门_物有所值_采购,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.5
100,辽宁省,2016,盘锦市人民政府办公室关于调整政府和社会资本...(FBM-CLI.12.1194224).txt,8,8_运用_推广 运用_运用 政府_领导小组,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.625
101,辽宁省,2016,葫芦岛市人民政府办公室关于调整政府和社会资...(FBM-CLI.12.1230713).txt,8,8_运用_推广 运用_运用 政府_领导小组,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.625
102,辽宁省,2016,辽宁省人民政府办公厅关于调整政府和社会资本...(FBM-CLI.12.1178553).txt,8,8_运用_推广 运用_运用 政府_领导小组,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.625
103,辽宁省,2016,铁岭市人民政府办公室关于调整政府和社会资本...(FBM-CLI.12.1230112).txt,8,8_运用_推广 运用_运用 政府_领导小组,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.625
104,辽宁省,2016,鞍山市人民政府办公厅关于印发《鞍山市政府和...(FBM-CLI.12.4059251).txt,14,14_行业_行业 主管部门_物有所值_采购,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.5
105,辽宁省,2016,鞍山市人民政府办公厅关于成立鞍山市推广政府...(FBM-CLI.14.1208546).txt,3,3_局长_主任_领导小组_局局长,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,1.0
106,辽宁省,2016,鞍山市发展和改革委员会关于政府和社会资本合...(FBM-CLI.14.5845127).txt,15,15_改革 委员会_国家 发展_云南省_陕西省政府,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.125
107,辽宁省,2017,丹东市人民政府办公室关于印发丹东市推动非户...(FBM-CLI.12.1411615).txt,17,17_落户_人口_就业_城镇化,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.75
108,辽宁省,2017,丹东市人民政府办公室关于成立丹东市推广政府...(FBM-CLI.14.1445302).txt,3,3_局长_主任_领导小组_局局长,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.875
109,辽宁省,2017,本溪市人民政府办公厅关于印发本溪市推动非户...(FBM-CLI.12.1403191).txt,17,17_落户_人口_就业_城镇化,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,1.0
110,辽宁省,2017,沈阳市人民政府办公厅转发市发展改革委市财政...(FBM-CLI.12.1406277).txt,1,1_证券化_资产 证券化_国家 发展_证券,采购交易、合同安排与执行绩效,C1,社会资本采购与竞争配置,0.5
111,辽宁省,2017,葫芦岛市人民政府办公室关于印发葫芦岛市推动...(FBM-CLI.12.1424109).txt,17,17_落户_人口_就业_城镇化,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,1.0
112,辽宁省,2017,葫芦岛市人民政府办公室关于调整葫芦岛市政府...(FBM-CLI.14.1286324).txt,3,3_局长_主任_领导小组_局局长,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.875
113,辽宁省,2017,辽宁省人民政府办公厅关于印发辽宁省推动非户...(FBM-CLI.14.1281084).txt,17,17_落户_人口_就业_城镇化,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,1.0
114,辽宁省,2017,辽宁省财政厅关于印发辽宁省普惠金融发展专项...(FBM-CLI.12.1435498).txt,6,6_奖励_普惠_奖代补_普惠 金融,数字治理接口与数据协同,A3,信息公开与透明协同,0.625
115,辽宁省,2017,辽阳市人民政府办公室关于印发辽阳市推动非户...(FBM-CLI.12.1423288).txt,17,17_落户_人口_就业_城镇化,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,1.0
116,辽宁省,2017,铁岭市人民政府办公室关于印发铁岭市推动非户...(FBM-CLI.12.1423993).txt,17,17_落户_人口_就业_城镇化,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.875
117,辽宁省,2017,锦州市人民政府办公厅关于印发锦州市推动非户...(FBM-CLI.12.1404004).txt,17,17_落户_人口_就业_城镇化,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.875
118,辽宁省,2017,阜新市人民政府办公室关于印发阜新市推动非户...(FBM-CLI.12.1412538).txt,17,17_落户_人口_就业_城镇化,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,1.0
119,辽宁省,2017,鞍山市人民政府办公厅关于印发鞍山市推动非户...(FBM-CLI.14.1426006).txt,17,17_落户_人口_就业_城镇化,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,1.0
120,辽宁省,2017,鞍山市发展和改革委员会关于加强政府和社会资...(FBM-CLI.14.5845028).txt,15,15_改革 委员会_国家 发展_云南省_陕西省政府,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.125
121,辽宁省,2018,抚顺市人民政府关于进一步推进政府和社会资本...(FBM-CLI.12.1470811).txt,16,16_运营 移交_移交_特许_经营,项目识别与前端规范准入,B1,项目识别、筛选与入库,1.0
122,辽宁省,2018,朝阳市人民政府办公室关于印发朝阳市实施政府...(FBM-CLI.14.1462013).txt,21,21_目标 社会_合理_运用_平等,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.75
123,辽宁省,2018,辽阳市人民政府关于印发辽阳市政府和社会资本...(FBM-CLI.12.1445924).txt,16,16_运营 移交_移交_特许_经营,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.875
124,辽宁省,2018,鞍山市财政局关于选聘政府和社会资本合作项目...(FBM-CLI.14.1509089).txt,9,9_专家_机构_咨询服务_咨询服务 机构,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,0.625
